image,mask
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2trtjf4qjd0878a2zle9v9.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2trtjf4qjd0878a2zle9v9.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju15l5ubz9yh0855b3ivdpse.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju15l5ubz9yh0855b3ivdpse.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7dp3dw2k4n0755zhe003ad.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7dp3dw2k4n0755zhe003ad.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju1fb9236a110801yvg0fwju.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju1fb9236a110801yvg0fwju.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju3x5u2tiihx0818914gzxy1.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju3x5u2tiihx0818914gzxy1.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju3uz4o6gr9z0850lhxyxvsj.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju3uz4o6gr9z0850lhxyxvsj.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju3tsh4lfsok0987w6x3a0v1.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju3tsh4lfsok0987w6x3a0v1.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju88gx09o2vk0818610zody3.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju88gx09o2vk0818610zody3.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7f0ec32txj08184asb8w5f.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7f0ec32txj08184asb8w5f.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju5ekty5ckzf07550c9u3ckk.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju5ekty5ckzf07550c9u3ckk.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju88msmoo3470817m441j4sg.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju88msmoo3470817m441j4sg.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2y5zas8m7f0801d34g5owq.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2y5zas8m7f0801d34g5owq.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2upu4evw7g08358guwozxv.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2upu4evw7g08358guwozxv.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2nguelpmlj0835rojdn097.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2nguelpmlj0835rojdn097.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7dizi82h2i0755doucgnt3.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7dizi82h2i0755doucgnt3.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju77q10sz9ug0801449wu1nu.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju77q10sz9ug0801449wu1nu.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7bfx651qr80801cs7epotb.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7bfx651qr80801cs7epotb.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2i03ptvkiu0799xbbd4det.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2i03ptvkiu0799xbbd4det.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju5ht88gedbu0755xrcuddcx.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju5ht88gedbu0755xrcuddcx.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju8buos5rz9b08715lfr0f4f.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju8buos5rz9b08715lfr0f4f.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2u4pymvc720988wsxrmi84.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2u4pymvc720988wsxrmi84.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju8418jhkf7d0818ga2v0xq0.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju8418jhkf7d0818ga2v0xq0.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2hfqnmhisa0993gpleeldd.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2hfqnmhisa0993gpleeldd.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju8c5mxls96t0850wvkvsity.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju8c5mxls96t0850wvkvsity.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7d3oc82cho0755dajlwldz.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7d3oc82cho0755dajlwldz.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7fcgbe2z3p07550vaflqdb.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7fcgbe2z3p07550vaflqdb.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju8azmhcr66e0755t61atz72.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju8azmhcr66e0755t61atz72.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju35eg0tdmjt085525sb4bua.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju35eg0tdmjt085525sb4bua.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2nyc5f02m40801ojqbtiea.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2nyc5f02m40801ojqbtiea.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju1hp9i2xu8e0988u2dazk7m.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju1hp9i2xu8e0988u2dazk7m.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju8d4jgatgpj0871q2ophhkm.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju8d4jgatgpj0871q2ophhkm.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju83wwn1k55e0850kw6i2d81.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju83wwn1k55e0850kw6i2d81.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2raxlosl630988jdbfy9b0.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2raxlosl630988jdbfy9b0.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7b10ce1mnm08011c5bwyr4.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7b10ce1mnm08011c5bwyr4.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju8cdeazsm8h0801jxifmzur.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju8cdeazsm8h0801jxifmzur.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2u73dj53oz0878486k8k4b.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2u73dj53oz0878486k8k4b.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju1f79yhsb5w0993txub59ol.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju1f79yhsb5w0993txub59ol.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2xd75m82720801q4s4ik3n.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2xd75m82720801q4s4ik3n.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2suk42469908015ngmq6f2.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2suk42469908015ngmq6f2.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju3yb47cj1xq0817zfotbni4.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju3yb47cj1xq0817zfotbni4.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7ea4om2l910801bohqjccy.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7ea4om2l910801bohqjccy.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju77k828z46w0871r0avuoo9.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju77k828z46w0871r0avuoo9.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju84dsvaklpx098750hp83x4.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju84dsvaklpx098750hp83x4.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2qdj95ru8g09886gfi9rsz.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2qdj95ru8g09886gfi9rsz.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2saez63gxl08559ucjq3kt.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2saez63gxl08559ucjq3kt.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju16ach3m1da0993r1dq3sn2.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju16ach3m1da0993r1dq3sn2.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2xf8e5y2wm08359vcgk09b.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2xf8e5y2wm08359vcgk09b.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2t62nq45jl0799odpufwx6.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2t62nq45jl0799odpufwx6.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju17bz250pgd0799u1hqkj5u.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju17bz250pgd0799u1hqkj5u.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju5tgbzhjllu08174ca41eus.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju5tgbzhjllu08174ca41eus.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju8bljw9rqk20801kr54akrl.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju8bljw9rqk20801kr54akrl.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju1cdxvz48hw0801i0fjwcnk.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju1cdxvz48hw0801i0fjwcnk.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju8cbsyssiqj0871gr4jedjp.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju8cbsyssiqj0871gr4jedjp.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7aqkue1i2k09879uzcpt8r.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7aqkue1i2k09879uzcpt8r.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7b3f5h1sm40755i572jden.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7b3f5h1sm40755i572jden.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7787c5yy3l080159mwqsnj.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7787c5yy3l080159mwqsnj.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju303j5r062k098835zxfds5.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju303j5r062k098835zxfds5.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju43o6n7m9nk087191ijwqq9.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju43o6n7m9nk087191ijwqq9.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju3xhpvvimda0987ygrpzni2.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju3xhpvvimda0987ygrpzni2.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju83rcnzkbsj0755x5anfrcg.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju83rcnzkbsj0755x5anfrcg.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7d5m0p23kn09871rk7pu3v.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7d5m0p23kn09871rk7pu3v.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju42qet0lsq90871e50xbnuv.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju42qet0lsq90871e50xbnuv.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju0sr5ghl0nd08789uzf1raf.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju0sr5ghl0nd08789uzf1raf.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju40taxlkrho0987smigg0x0.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju40taxlkrho0987smigg0x0.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7bf1lp1shi081835vs84lc.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7bf1lp1shi081835vs84lc.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju88v2f9oi8w0871hx9auh01.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju88v2f9oi8w0871hx9auh01.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju89y9h0puti0818i5yw29e6.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju89y9h0puti0818i5yw29e6.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju41lojblbs307555jdci937.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju41lojblbs307555jdci937.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju0u82z3cuma0835wlxrnrjv.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju0u82z3cuma0835wlxrnrjv.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju5bmhdcafs909878qfzrqzi.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju5bmhdcafs909878qfzrqzi.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2pkwt3r8b90988v2ywq1px.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2pkwt3r8b90988v2ywq1px.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju8clorgsuwn08714toqb7v6.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju8clorgsuwn08714toqb7v6.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7f9umg2olj0987fj5y285w.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7f9umg2olj0987fj5y285w.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2syxa93yw40799x2iuwabz.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2syxa93yw40799x2iuwabz.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju886ryxnsl50801r93jai7q.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju886ryxnsl50801r93jai7q.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju1d50a94qf50855wsowacrc.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju1d50a94qf50855wsowacrc.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2hqt33lmra0988fr5ijv8j.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2hqt33lmra0988fr5ijv8j.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju884985nlmx0817vzpax3y4.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju884985nlmx0817vzpax3y4.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju0rx1idathl0835detmsp84.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju0rx1idathl0835detmsp84.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju77idwfz36d0871tzfzz51i.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju77idwfz36d0871tzfzz51i.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2rnkt22xep0801as160g9t.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2rnkt22xep0801as160g9t.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju87xn2snfmv0987sc3d9xnq.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju87xn2snfmv0987sc3d9xnq.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju5o1vu9gz8a0818eyy92bns.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju5o1vu9gz8a0818eyy92bns.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju31w6goazci0799n014ly1q.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju31w6goazci0799n014ly1q.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju8cattbsivm0818p446wgel.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju8cattbsivm0818p446wgel.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju1bhnfitmge0835ynls0l6b.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju1bhnfitmge0835ynls0l6b.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju17r8il13910799dr2wme2e.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju17r8il13910799dr2wme2e.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju77u1sjz77b0817ft44r3fk.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju77u1sjz77b0817ft44r3fk.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju1c8ffau5770835g0g343o8.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju1c8ffau5770835g0g343o8.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju3x9lttikfb0818a0g104zn.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju3x9lttikfb0818a0g104zn.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju35ldepdtlm0801yv79y8vu.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju35ldepdtlm0801yv79y8vu.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju30ov1oah920801mi8thuyg.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju30ov1oah920801mi8thuyg.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7fd6yt2p740987wkr8exo1.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7fd6yt2p740987wkr8exo1.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju34i3qvcyog0855qiejxx5w.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju34i3qvcyog0855qiejxx5w.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju83syhdk6gs0801rf1rekdl.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju83syhdk6gs0801rf1rekdl.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju8b1v3br45u087189kku66u.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju8b1v3br45u087189kku66u.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju1dfeupuzlw0835gnxip369.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju1dfeupuzlw0835gnxip369.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju15czxqp3lv0835jvhgzurz.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju15czxqp3lv0835jvhgzurz.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju6vrs1ov8cr098788h8gs6j.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju6vrs1ov8cr098788h8gs6j.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju849c23kgnk0817cgv2hw1e.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju849c23kgnk0817cgv2hw1e.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju5ddda9bkkt0850enzwatb1.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju5ddda9bkkt0850enzwatb1.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7flevb2wii08188otgs9p2.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7flevb2wii08188otgs9p2.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7dsrtb2f8i085064kwugfk.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7dsrtb2f8i085064kwugfk.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju5f0dezct4q08183ydw11dx.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju5f0dezct4q08183ydw11dx.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju5wqonpm0e60801z88ewmy1.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju5wqonpm0e60801z88ewmy1.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju8bysfgrzkl081786jwac09.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju8bysfgrzkl081786jwac09.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7ahtkb1jr90801jck4kbds.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7ahtkb1jr90801jck4kbds.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju5k503sfa5f0871lx0rpu5y.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju5k503sfa5f0871lx0rpu5y.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju1amqw6p8pw0993d9gc5crl.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju1amqw6p8pw0993d9gc5crl.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2yljr0yzhw0988ecf271ly.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2yljr0yzhw0988ecf271ly.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju3uhb79gcgr0871orbrbi3x.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju3uhb79gcgr0871orbrbi3x.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2xbk0080y80801eghyddi2.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2xbk0080y80801eghyddi2.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju1cnnziug1l0835yh4ropyg.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju1cnnziug1l0835yh4ropyg.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju3v0fl3gwce0755qkjhzmd4.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju3v0fl3gwce0755qkjhzmd4.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2hw5gjlr5h0988so2qqres.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2hw5gjlr5h0988so2qqres.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju8c3xs7sauj0801ieyzezr5.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju8c3xs7sauj0801ieyzezr5.jpg
